"product_key","segment","color","package_group","offers_available","farba_dekart_brand","farba_dekart_store","farba_dekart_package_kg","farba_dekart_regular_price","farba_dekart_unit_price_per_kg","farba_dekart_in_stock","farba_farbex_brand","farba_farbex_store","farba_farbex_package_kg","farba_farbex_regular_price","farba_farbex_unit_price_per_kg","farba_farbex_in_stock","farba_zebra_master_brand","farba_zebra_master_store","farba_zebra_master_package_kg","farba_zebra_master_regular_price","farba_zebra_master_unit_price_per_kg","farba_zebra_master_in_stock","lursan_fazenda_brand","lursan_fazenda_store","lursan_fazenda_package_kg","lursan_fazenda_regular_price","lursan_fazenda_unit_price_per_kg","lursan_fazenda_in_stock","lursan_korabelnaya_brand","lursan_korabelnaya_store","lursan_korabelnaya_package_kg","lursan_korabelnaya_regular_price","lursan_korabelnaya_unit_price_per_kg","lursan_korabelnaya_in_stock","mirremonta_dekart_brand","mirremonta_dekart_store","mirremonta_dekart_package_kg","mirremonta_dekart_regular_price","mirremonta_dekart_unit_price_per_kg","mirremonta_dekart_in_stock","mirremonta_farbex_brand","mirremonta_farbex_store","mirremonta_farbex_package_kg","mirremonta_farbex_regular_price","mirremonta_farbex_unit_price_per_kg","mirremonta_farbex_in_stock","best_offer","best_store","best_brand","best_package_kg","best_price","best_unit_price_per_kg","max_unit_saving","max_unit_saving_percent"
"pf115_economy","economy","Бежевый","large","2","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","2.8","126","45","True","","","","","","","farba_dekart","farba.md","DekArt","2.8","102,90","36,75","8,25","18,33"
"pf115_economy","economy","Белый","large","3","DekArt","farba.md","2.8","124,95","44,625","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","120,05","42,875","True","","","","","","","DekArt","mirremonta.md","2.8","132","47,1429","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","120,05","42,875","4,2679","9,05"
"pf115_economy","economy","Бирюзовый","large","1","","","","","","","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","","","","","","","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357",,
"pf115_economy","economy","Вишневый","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","132","47,1429","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","11,6072","24,62"
"pf115_economy","economy","Голубой","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","135","48,2143","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","12,6786","26,30"
"pf115_economy","economy","Желто-коричневый","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","129","46,0714","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","10,5357","22,87"
"pf115_economy","economy","Желтый","large","3","DekArt","farba.md","2.8","113,40","40,5","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","109,5","39,1071","True","","","","","","","DekArt","mirremonta.md","2.8","114","40,7143","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","109,5","39,1071","1,6072","3,95"
"pf115_economy","economy","Зелёный","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","135","48,2143","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","12,6786","26,30"
"pf115_economy","economy","Изумрудный","large","1","","","","","","","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","","","","","","","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357",,
"pf115_economy","economy","Коричневый","large","3","DekArt","farba.md","2.8","102,90","36,75","True","","","","","","","","","","","","","Fazenda","lursan.com","2.8","99,5","35,5357","True","","","","","","","DekArt","mirremonta.md","2.8","128","45,7143","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","2.8","99,5","35,5357","10,1786","22,27"
